,lever,ball,door,stick,Cluster
2743,0,0,1,0,0
2744,0,0,1,0,0
2745,0,0,1,0,0
2746,0,0,1,0,0
2747,0,0,1,0,0
2748,0,0,1,0,0
2749,0,0,1,0,0
2750,0,0,1,0,0
2751,0,0,1,0,0
2752,0,0,1,0,0
2753,0,0,1,0,0
2754,0,0,1,0,0
2755,0,0,1,0,0
2756,0,0,1,0,0
2757,0,0,1,0,0
2758,0,0,1,0,0
2759,0,0,1,0,0
2760,0,0,1,0,0
2761,0,0,1,0,0
2762,0,0,1,0,0
2763,0,0,1,0,0
2764,0,0,1,0,0
2765,0,0,1,0,0
2766,0,0,1,0,0
2767,0,0,1,0,0
2768,0,0,1,0,0
2769,0,0,1,0,0
2770,0,0,1,0,0
2771,0,0,1,0,0
2772,0,0,1,0,0
2773,0,0,1,0,0
2774,0,0,1,0,0
2775,0,0,1,0,0
2776,0,0,1,0,0
2777,0,0,1,0,0
2778,0,0,1,0,0
2779,0,0,1,0,0
2780,0,0,1,0,0
2781,0,0,1,0,0
2782,0,0,1,0,0
2783,0,0,1,0,0
2784,0,0,1,0,0
2785,0,0,1,0,0
2786,0,0,1,0,0
2787,0,0,1,0,0
2788,0,0,1,0,0
2789,0,0,1,0,0
2790,0,0,1,0,0
2791,0,0,1,0,0
2792,0,0,1,0,0
2793,0,0,1,0,0
2794,0,0,1,0,0
2795,0,0,1,0,0
2796,0,0,1,0,0
2797,0,0,1,0,0
2798,0,0,1,0,0
2799,0,0,1,0,0
2800,0,0,1,0,0
2801,0,0,1,0,0
2802,0,0,1,0,0
2803,0,0,1,0,0
2804,0,0,1,0,0
2805,0,0,1,0,0
2806,0,0,1,0,0
2807,0,0,1,0,0
2808,0,0,1,0,0
2809,0,0,1,0,0
2810,0,0,1,0,0
2811,0,0,1,0,0
2812,0,0,1,0,0
2813,0,0,1,0,0
2814,0,0,1,0,0
2815,0,0,1,0,0
2816,0,0,1,0,0
2817,0,0,1,0,0
2818,0,0,1,0,0
2819,0,0,1,0,0
2820,0,0,1,0,0
2821,0,0,1,0,0
2822,0,0,1,0,0
2823,0,0,1,0,0
2824,0,0,1,0,0
2825,0,0,1,0,0
2826,0,0,1,0,0
2827,0,0,1,0,0
2828,0,0,1,0,0
2829,0,0,1,0,0
2830,0,0,1,0,0
2831,0,0,1,0,0
2832,0,0,1,0,0
2833,0,0,1,0,0
2834,0,0,1,0,0
2835,0,0,1,0,0
2836,0,0,1,0,0
2837,0,0,1,0,0
2838,0,0,1,0,0
2839,0,0,1,0,0
2840,0,0,1,0,0
2841,0,0,1,0,0
2842,0,0,1,0,0
2843,0,0,1,0,0
2844,0,0,1,0,0
2845,0,0,1,0,0
2846,0,0,1,0,0
2847,0,0,1,0,0
2848,0,0,1,0,0
2849,0,0,1,0,0
2850,0,0,1,0,0
2856,0,0,1,0,0
2857,0,0,1,0,0
2858,0,0,1,0,0
2859,0,0,1,0,0
2860,0,0,1,0,0
2861,0,0,1,0,0
2862,0,0,1,0,0
2863,0,0,1,0,0
2864,0,0,1,0,0
2865,0,0,1,0,0
2866,0,0,1,0,0
3593,0,0,1,0,0
3594,0,0,1,0,0
3595,0,0,1,0,0
3596,0,0,1,0,0
3597,0,0,1,0,0
3598,0,0,1,0,0
3599,0,0,1,0,0
3600,0,0,1,0,0
3601,0,0,1,0,0
3602,0,0,1,0,0
3603,0,0,1,0,0
3604,0,0,1,0,0
3605,0,0,1,0,0
3606,0,0,1,0,0
3607,0,0,1,0,0
3608,0,0,1,0,0
3609,0,0,1,0,0
3610,0,0,1,0,0
3614,0,0,1,0,0
3615,0,0,1,0,0
3616,0,0,1,0,0
3617,0,0,1,0,0
3643,0,0,1,0,0
3644,0,0,1,0,0
3645,0,0,1,0,0
3646,0,0,1,0,0
3647,0,0,1,0,0
3648,0,0,1,0,0
3649,0,0,1,0,0
3650,0,0,1,0,0
3651,0,0,1,0,0
3652,0,0,1,0,0
3653,0,0,1,0,0
3654,0,0,1,0,0
3655,0,0,1,0,0
3656,0,0,1,0,0
3657,0,0,1,0,0
3658,0,0,1,0,0
3659,0,0,1,0,0
3660,0,0,1,0,0
3661,0,0,1,0,0
3662,0,0,1,0,0
3663,0,0,1,0,0
3664,0,1,0,0,1
3665,0,1,0,0,1
3666,0,1,0,0,1
3667,0,1,0,0,1
3668,0,1,0,0,1
3669,0,1,0,0,1
3670,0,1,0,0,1
3671,0,1,0,0,1
3672,0,1,0,0,1
3673,0,1,0,0,1
3674,0,1,0,0,1
3675,0,1,0,0,1
3676,0,1,0,0,1
3677,0,1,0,0,1
3678,0,1,0,0,1
3679,0,1,0,0,1
3680,0,1,0,0,1
3681,0,1,0,0,1
3682,0,1,0,0,1
3683,0,1,0,0,1
3684,0,1,0,0,1
3685,0,1,0,0,1
3688,0,1,0,0,1
3689,0,1,0,0,1
3690,0,1,0,1,2
3691,0,1,0,1,2
3692,0,1,0,1,2
3693,0,1,0,1,2
3700,0,1,0,0,1
3701,0,1,0,0,1
3702,0,1,0,0,1
3703,0,1,0,0,1
3704,0,1,0,0,1
3705,0,1,0,0,1
3712,0,1,0,0,1
3718,0,0,1,0,0
3719,0,0,1,0,0
3720,0,0,1,0,0
3729,0,0,1,0,0
3730,0,0,1,0,0
3731,0,0,1,0,0
3732,0,0,1,0,0
3736,0,0,1,0,0
3746,0,1,0,1,2
3747,0,1,0,1,2
3748,0,1,0,1,2
3749,0,1,0,1,2
3750,0,1,0,1,2
3751,0,1,0,1,2
3752,0,1,0,1,2
3753,0,1,1,1,2
3754,0,1,0,0,1
3755,0,1,0,0,1
3756,0,1,0,0,1
3757,0,1,1,0,1
3758,0,1,1,0,1
3759,0,1,1,0,1
3760,0,1,1,0,1
3761,0,1,1,0,1
3762,0,1,0,0,1
3764,0,0,1,0,0
3765,0,0,1,0,0
3766,0,0,1,0,0
3767,0,0,1,0,0
3768,0,0,1,0,0
3769,0,0,1,0,0
3770,0,0,1,0,0
3771,0,0,1,0,0
3772,0,0,1,0,0
3773,0,0,1,0,0
3774,0,0,1,0,0
3775,0,0,1,0,0
3776,0,0,1,0,0
3777,0,1,1,0,1
3778,0,0,1,0,0
3779,0,0,1,0,0
3780,0,0,1,0,0
3781,0,0,1,0,0
3782,0,0,1,0,0
3783,0,1,1,0,1
3786,0,1,0,0,1
3787,0,1,0,0,1
3788,0,1,0,0,1
3789,0,1,0,0,1
3790,0,1,0,0,1
3796,0,1,0,0,1
3797,0,1,0,0,1
3798,0,1,0,0,1
3799,0,1,0,0,1
3800,0,1,0,0,1
3801,0,1,0,0,1
3802,0,1,0,0,1
3803,0,1,0,0,1
3804,0,1,1,0,1
3805,0,1,1,0,1
3806,0,1,1,0,1
3807,0,1,1,0,1
3808,0,1,1,0,1
3809,0,1,1,0,1
3810,0,1,1,0,1
3811,0,1,0,0,1
3812,0,1,0,0,1
3813,0,1,0,0,1
3814,0,1,0,0,1
3815,0,1,0,0,1
3816,0,1,0,0,1
3817,0,1,0,0,1
3818,0,1,0,0,1
3819,0,1,0,0,1
3820,0,1,0,0,1
3821,0,1,0,0,1
3822,0,1,0,0,1
3823,0,1,0,0,1
3824,0,1,0,0,1
3825,0,1,0,0,1
3826,0,1,0,0,1
3827,0,1,0,0,1
3828,0,1,0,1,2
3829,0,1,0,1,2
3830,0,1,0,1,2
3831,0,0,0,1,2
3832,0,0,0,1,2
3833,0,0,0,1,2
3842,0,0,0,1,2
3843,0,0,0,1,2
3844,0,0,0,1,2
3845,0,0,0,1,2
3846,0,0,0,1,2
3847,0,0,0,1,2
3848,0,0,0,1,2
3849,0,0,0,1,2
3850,0,0,0,1,2
3851,0,0,0,1,2
3855,0,1,0,0,1
3856,0,1,0,0,1
3857,0,1,0,0,1
3858,0,1,0,0,1
3859,0,1,0,0,1
3860,0,1,0,0,1
3861,0,1,0,0,1
3867,0,1,0,0,1
3868,0,1,0,0,1
3869,0,1,0,0,1
3870,0,1,0,0,1
3871,0,1,0,0,1
3872,0,1,0,0,1
3873,0,1,0,0,1
3874,0,1,0,0,1
3875,0,1,0,0,1
3893,0,0,0,1,2
3940,0,1,0,0,1
3978,0,1,0,0,1
3989,0,1,0,0,1
3993,0,1,0,0,1
3994,0,1,0,0,1
3995,0,1,0,0,1
3996,0,1,0,0,1
3997,0,1,0,0,1
4000,0,1,0,0,1
4001,0,1,0,0,1
4002,0,1,0,0,1
4003,0,1,0,0,1
4006,0,0,0,1,2
4007,0,0,0,1,2
4008,0,0,0,1,2
4009,0,0,0,1,2
4010,0,0,0,1,2
4011,0,0,0,1,2
4012,0,0,0,1,2
4073,0,0,0,1,2
4074,0,0,0,1,2
4075,0,0,0,1,2
4076,0,0,0,1,2
4077,0,0,0,1,2
4078,0,0,0,1,2
4117,0,0,0,1,2
4118,0,0,0,1,2
4119,0,0,0,1,2
4120,0,0,0,1,2
4121,0,0,0,1,2
4122,0,0,0,1,2
4123,0,0,0,1,2
4124,0,0,0,1,2
4125,0,0,0,1,2
4126,0,0,0,1,2
4127,0,0,0,1,2
4128,0,0,0,1,2
4137,0,0,0,1,2
4138,0,0,0,1,2
4139,0,0,0,1,2
4140,0,0,0,1,2
4141,0,0,0,1,2
4142,0,0,0,1,2
4143,0,0,0,1,2
4144,0,0,0,1,2
4145,0,0,0,1,2
4146,0,0,0,1,2
4147,0,0,0,1,2
4159,0,0,0,1,2
4160,0,0,0,1,2
4161,0,0,0,1,2
4162,0,0,0,1,2
4163,0,0,0,1,2
4164,0,0,0,1,2
4165,0,0,0,1,2
4166,0,0,0,1,2
4204,0,0,0,1,2
4264,0,0,1,0,0
4265,0,0,1,0,0
4266,0,0,1,0,0
4267,0,0,1,0,0
4268,0,0,1,0,0
4269,0,0,1,0,0
4270,0,0,1,0,0
4271,0,0,1,0,0
4272,0,0,1,0,0
4273,0,0,1,0,0
4274,0,0,1,0,0
4275,0,0,1,0,0
4276,0,0,1,0,0
4277,0,0,1,0,0
4306,0,1,0,0,1
4307,0,0,1,0,0
4308,0,0,1,0,0
4309,0,0,1,0,0
4310,0,0,1,0,0
4311,0,0,1,0,0
4312,0,0,1,0,0
4313,0,0,1,0,0
4314,0,0,1,0,0
4315,0,0,1,0,0
4316,0,0,1,0,0
4317,0,0,1,0,0
4318,0,0,1,0,0
4319,0,0,1,0,0
4320,0,0,1,0,0
4321,0,0,1,0,0
4322,0,1,1,0,1
4323,0,0,1,0,0
4324,0,0,1,0,0
4325,0,0,1,0,0
4326,1,0,1,0,3
4327,0,0,1,0,0
4328,0,0,1,0,0
4332,0,1,0,0,1
4350,0,1,0,0,1
4351,0,1,0,0,1
4352,0,1,0,0,1
4353,0,1,0,0,1
4355,0,0,1,0,0
4356,0,0,1,0,0
4357,0,0,1,0,0
4358,0,0,1,0,0
4359,0,0,1,0,0
4360,0,0,1,0,0
4361,0,0,1,0,0
4362,0,0,1,0,0
4363,0,0,1,0,0
4364,0,0,1,0,0
4389,0,0,1,0,0
4390,0,0,1,0,0
4391,0,0,1,0,0
4392,0,0,1,0,0
4393,0,0,1,0,0
4394,0,0,1,0,0
4395,0,0,1,0,0
4814,0,0,1,0,0
4815,0,0,1,0,0
4816,0,0,1,0,0
4817,0,0,1,0,0
4818,0,0,1,0,0
4819,0,0,1,0,0
4820,0,0,1,0,0
4821,0,0,1,0,0
4822,0,0,1,0,0
4823,0,0,1,0,0
4824,0,0,1,0,0
4825,0,0,1,0,0
4826,0,0,1,0,0
4827,0,0,1,0,0
4828,0,0,1,0,0
4829,0,0,1,0,0
4841,0,0,1,0,0
4842,0,0,1,0,0
4843,0,0,1,0,0
4844,0,0,1,0,0
4845,0,0,1,0,0
4846,0,0,1,0,0
4847,0,0,1,0,0
4848,0,0,1,0,0
4849,0,0,1,0,0
4850,0,0,1,0,0
4851,0,0,1,0,0
4852,0,0,1,0,0
4853,0,0,1,0,0
4854,0,0,1,0,0
4855,0,0,1,0,0
4856,0,0,1,0,0
4857,0,0,1,0,0
4858,0,0,1,0,0
4859,0,0,1,0,0
4860,0,0,1,0,0
4861,0,0,1,0,0
4862,0,0,1,0,0
4863,0,0,1,0,0
4864,0,0,1,0,0
4865,0,0,1,0,0
4866,0,0,1,0,0
4867,0,0,1,0,0
4868,0,0,1,0,0
4869,0,0,1,0,0
4870,0,0,1,0,0
4871,0,0,1,0,0
4872,0,0,1,0,0
4873,0,0,1,0,0
4874,0,0,1,0,0
4875,0,0,1,0,0
4876,0,0,1,0,0
4877,0,0,1,0,0
4911,0,0,1,0,0
4912,0,0,1,0,0
4913,0,0,1,0,0
4914,0,0,1,0,0
4915,0,0,1,0,0
4916,0,0,1,0,0
4917,0,0,1,0,0
4918,0,0,1,0,0
4919,0,0,1,0,0
4920,0,0,1,0,0
4954,0,0,1,0,0
4955,0,0,1,0,0
4956,0,0,1,0,0
4957,0,0,1,0,0
4958,0,0,1,0,0
4959,0,0,1,0,0
4960,0,0,1,0,0
4961,0,0,1,0,0
4962,0,0,1,0,0
4963,0,0,1,0,0
4964,0,0,1,0,0
4965,0,0,1,0,0
4966,0,0,1,0,0
4967,0,0,1,0,0
4968,0,0,1,0,0
4969,0,0,1,0,0
4970,0,0,1,0,0
4971,0,0,1,0,0
4972,0,0,1,0,0
4973,0,0,1,0,0
4974,0,0,1,0,0
4975,0,0,1,0,0
4976,0,0,1,0,0
4977,0,0,1,0,0
4978,0,0,1,0,0
4979,0,0,1,0,0
4980,0,0,1,0,0
4981,0,0,1,0,0
4982,0,0,1,0,0
4993,0,0,1,0,0
5007,0,0,1,0,0
5008,0,0,1,0,0
5009,0,0,1,0,0
5010,0,0,1,0,0
5011,0,0,1,0,0
5012,0,0,1,0,0
5013,0,0,1,0,0
5014,0,0,1,0,0
5015,0,0,1,0,0
5016,0,0,1,0,0
5017,0,0,1,0,0
5018,0,0,1,0,0
5019,0,0,1,0,0
5020,0,0,1,0,0
5021,0,0,1,0,0
5022,0,0,1,0,0
5023,0,0,1,0,0
5024,0,0,1,0,0
5025,0,0,1,0,0
5026,0,0,1,0,0
5027,0,0,1,0,0
5028,0,0,1,0,0
5029,0,0,1,0,0
5030,0,0,1,0,0
5031,0,0,1,0,0
5032,0,0,1,0,0
5033,0,0,1,0,0
5034,0,0,1,0,0
5035,0,0,1,0,0
5036,0,0,1,0,0
5037,0,0,1,0,0
5038,0,0,1,0,0
5039,0,0,1,0,0
5040,0,0,1,0,0
5041,0,0,1,0,0
5042,0,0,1,0,0
5043,0,0,1,0,0
5060,0,0,1,0,0
5061,0,0,1,0,0
5062,0,0,1,0,0
5063,0,0,1,0,0
5064,0,0,1,0,0
5065,0,0,1,0,0
5066,0,0,1,0,0
5067,0,0,1,0,0
5068,0,0,1,0,0
5077,0,0,1,0,0
5078,0,0,1,0,0
5079,0,0,1,0,0
5080,0,0,1,0,0
5081,0,0,1,0,0
5082,0,0,1,0,0
5083,0,0,1,0,0
5084,0,0,1,0,0
5085,0,0,1,0,0
5086,0,0,1,0,0
5087,0,0,1,0,0
5109,0,0,1,0,0
5110,0,0,1,0,0
5111,0,0,1,0,0
5112,0,0,1,0,0
5113,0,0,1,0,0
5114,0,0,1,0,0
5115,0,0,1,0,0
5116,0,0,1,0,0
5117,0,0,1,0,0
5118,0,0,1,0,0
5119,0,0,1,0,0
5128,0,0,1,0,0
5129,0,0,1,0,0
5130,0,0,1,0,0
5131,0,0,1,0,0
5132,0,0,1,0,0
5133,0,0,1,0,0
5134,0,0,1,0,0
5135,0,0,1,0,0
5136,0,0,1,0,0
5137,0,0,1,0,0
5138,0,0,1,0,0
5139,0,0,1,0,0
5140,0,0,1,0,0
5141,0,0,1,0,0
5142,0,0,1,0,0
5143,0,0,1,0,0
5144,0,0,1,0,0
5145,0,0,1,0,0
5163,0,0,1,0,0
5164,0,0,1,0,0
